,Word,Frequency
698,isle,36
699,step,36
700,fired,36
701,visit,36
702,cause,36
703,weather,36
704,christian,36
705,emergency,36
706,coup,36
707,needs,36
708,fans,36
709,lie,36
710,past,36
711,fear,36
712,weapons,36
713,online,36
714,turn,36
715,asks,36
716,moment,36
717,violent,36
718,action,36
719,ways,36
720,ww,35
721,rule,35
722,firm,35
723,carolyn,35
724,largest,35
725,break,35
726,almost,35
727,failed,35
728,hero,35
729,hax,35
730,members,35
731,plane,35
732,racist,35
733,response,35
734,injured,35
735,brain,35
736,blitz,35
737,youre,35
738,try,35
739,sources,35
740,returns,35
741,decision,35
742,venezuela,35
743,dollar,35
744,gatwick,35
745,leaves,35
746,jewish,35
747,hour,35
748,fuel,35
749,nations,35
750,whats,34
751,act,34
752,tweets,34
753,defends,34
754,bbcstever,34
755,nasa,34
756,strikes,34
757,name,34
758,liberty,34
759,across,34
760,shocking,34
761,something,34
762,true,34
763,forced,34
764,apple,34
765,amazing,34
766,release,34
767,beat,34
768,dog,34
769,yellow,34
770,jobs,34
771,abedin,34
772,destroyed,34
773,soldiers,34
774,conservative,34
775,actually,34
776,return,34
777,giant,34
778,lose,34
779,audio,34
780,kelly,34
781,seen,33
782,false,33
783,union,33
784,explains,33
785,earthquake,33
786,anti-trump,33
787,temple,33
788,oregon,33
789,aid,33
790,chart,33
791,better,33
792,role,33
793,cut,33
794,rain,33
795,propaganda,33
796,morning,33
797,miss,33
798,democracy,33
799,attorney,33
800,arrests,33
801,hes,33
802,issues,33
803,huckabee,33
804,little,33
805,reality,33
806,mike,33
807,governor,33
808,thompson,33
809,company,33
810,abuse,33
811,opens,33
812,matter,33
813,cabinet,33
814,non,32
815,looks,32
816,suspect,32
817,ask,32
818,detained,32
819,korean,32
820,might,32
821,announces,32
822,ireland,32
823,ship,32
824,avoid,32
825,wire,32
826,withdrawal,32
827,shut,32
828,care,32
829,line,32
830,moon,32
831,despite,32
832,term,32
833,december,32
834,middle,32
835,stolen,32
836,blame,32
837,operation,32
838,trip,32
839,took,32
840,fall,32
841,discovered,32
842,denies,32
843,east,32
844,releases,32
845,ties,32
846,para,32
847,nfl,32
848,died,32
849,medical,31
850,problem,31
851,kids,31
852,industry,31
853,season,31
854,blast,31
855,changes,31
856,movie,31
857,electoral,31
858,point,31
859,investigate,31
860,egypt,31
861,means,31
862,los,31
863,huge,31
864,criminal,31
865,fox,31
866,christophobia,31
867,steal,31
868,worst,31
869,stage,31
870,asylum,31
871,title,31
872,michelle,31
873,play,31
874,fires,31
875,question,31
876,seven,31
877,scoffs,31
878,afghan,31
879,machine,31
880,officers,31
881,god,31
882,mind,31
883,charity,31
884,parents,31
885,finally,31
886,film,31
887,dangerous,30
888,father,30
889,politicians,30
890,wednesday,30
891,heart,30
892,stay,30
893,asia,30
894,tweet,30
895,confirms,30
896,navy,30
897,johnson,30
898,ice,30
899,department,30
900,cannabis,30
901,everyone,30
902,bans,30
903,terrorist,30
904,nearly,30
905,duke,30
906,international,30
907,attempt,30
908,side,30
909,price,30
910,stories,30
911,khashoggi,30
912,rigging,30
913,joe,30
914,pope,30
915,stock,30
916,zealand,30
917,drugs,30
918,launch,29
919,tried,29
920,japanese,29
921,ancient,29
922,hundreds,29
923,fa,29
924,endingfed,29
925,travel,29
926,poland,29
927,bbcpolitics,29
928,anonymous,29
929,agency,29
930,disaster,29
931,safe,29
932,refugees,29
933,eyes,29
934,budget,29
935,sales,29
936,released,29
937,amp,29
938,entire,29
939,zone,29
940,coast,29
941,spanish,29
942,rescue,29
943,solar,29
944,music,29
945,age,29
946,mid-term,29
947,event,29
948,happen,29
949,julian,29
950,looking,29
951,buy,29
952,accuses,29
953,sudan,29
954,turns,29
955,isnt,29
956,chance,29
957,area,29
958,popular,29
959,driver,29
960,liberal,29
961,birth,29
962,push,29
963,allegations,29
964,на,29
965,megyn,29
966,thursday,29
967,hidden,28
968,tell,28
969,games,28
970,corrupt,28
971,place,28
972,promises,28
973,gave,28
974,robert,28
975,citizens,28
976,light,28
977,march,28
978,among,28
979,sick,28
980,clean,28
981,everything,28
982,que,28
983,happens,28
984,pressure,28
985,late,28
986,suspected,28
987,sequitur,28
988,prime,28
989,conflict,28
990,documentary,28
991,half,28
992,charge,28
993,preparing,28
994,tonight,28
995,reach,28
996,mission,28
997,factbox,28
998,missile,28
999,growing,28
1000,train,28
1001,jason,28
1002,al,28
1003,toll,27
1004,eight,27
1005,orders,27
1006,uses,27
1007,university,27
1008,tom,27
1009,bomb,27
1010,merkel,27
1011,delay,27
1012,dump,27
1013,activist,27
1014,saying,27
1015,images,27
1016,sports,27
1017,camera,27
1018,tear,27
1019,strange,27
1020,science,27
1021,chairman,27
1022,clash,27
1023,actor,27
1024,turkish,27
1025,asked,27
1026,fund,27
1027,walk,27
1028,links,27
1029,officer,27
1030,italian,27
1031,victim,27
1032,prince,27
1033,eric,27
1034,russians,27
1035,senator,27
1036,lawmakers,27
1037,mexican,27
1038,growth,27
1039,wars,27
1040,launches,27
1041,documents,27
1042,grand,27
1043,immigrants,27
1044,russias,27
1045,club,26
1046,historic,26
1047,happening,26
1048,rico,26
1049,dna,26
1050,lady,26
1051,agenda,26
1052,hard,26
1053,anthony,26
1054,cops,26
1055,comes,26
1056,barack,26
1057,ambassador,26
1058,steps,26
1059,pentagon,26
1060,green,26
1061,brutal,26
1062,journalists,26
1063,course,26
1064,technology,26
1065,flag,26
1066,manager,26
1067,worlds,26
1068,monday,26
1069,controversial,26
1070,reopens,26
1071,increase,26
1072,stunning,26
1073,homeless,26
1074,biden,26
1075,mean,26
1076,bangladesh,26
1077,dapl,26
1078,address,26
1079,grow,26
1080,fail,26
1081,moves,26
1082,damage,26
1083,cuts,26
1084,philippines,26
1085,posts,26
1086,important,26
1087,unity,26
1088,shock,26
1089,videos,26
1090,pelosi,25
1091,double,25
1092,congressman,25
1093,anthem,25
1094,seek,25
1095,shes,25
1096,became,25
1097,ryan,25
1098,spying,25
1099,watching,25
1100,host,25
1101,nobel,25
1102,winner,25
1103,raise,25
1104,elite,25
1105,lynch,25
1106,person,25
1107,pence,25
1108,bob,25
1109,giving,25
1110,bills,25
1111,less,25
1112,dogs,25
1113,discuss,25
1114,thailand,25
1115,strong,25
1116,stars,25
1117,proof,25
1118,dark,25
1119,gunman,25
1120,blames,25
1121,lies,25
1122,class,25
1123,different,25
1124,hope,25
1125,criticism,25
1126,puerto,25
1127,independence,25
1128,proves,25
1129,believe,25
1130,guide,24
1131,rebels,24
1132,begins,24
1133,answer,24
1134,dream,24
1135,offensive,24
1136,armed,24
1137,players,24
1138,summit,24
1139,weeks,24
1140,michigan,24
1141,christians,24
1142,chris,24
1143,offers,24
1144,countries,24
1145,modern,24
1146,within,24
1147,challenge,24
1148,crashes,24
1149,ufo,24
1150,raises,24
1151,alternative,24
1152,prepare,24
1153,prize,24
1154,santa,24
1155,phone,24
1156,toxic,24
1157,companies,24
1158,peter,24
1159,bring,24
1160,tips,24
1161,illegally,24
1162,front,24
1163,fix,24
1164,referendum,24
1165,well,24
1166,commission,24
1167,establishment,24
1168,confidence,24
1169,planning,24
1170,mueller,24
1171,suicide,24
1172,roberts,24
1173,wildlife,24
1174,hacked,24
1175,alien,23
1176,hungary,23
1177,stocks,23
1178,building,23
1179,virginia,23
1180,enough,23
1181,community,23
1182,executive,23
1183,transgender,23
1184,follow,23
1185,anyone,23
1186,guardian,23
1187,went,23
1188,blasts,23
1189,calling,23
1190,low,23
1191,homes,23
1192,ring,23
1193,cities,23
1194,mystery,23
1195,jerusalem,23
1196,girls,23
1197,jews,23
1198,talking,23
1199,came,23
1200,coverage,23
1201,pick,23
1202,williams,23
1203,trapped,23
1204,boss,23
1205,rising,23
1206,riots,23
1207,pharma,23
1208,outside,23
1209,francis,23
1210,huawei,23
1211,profile,23
1212,forget,23
1213,clear,23
1214,welcome,23
1215,cancels,23
1216,expected,23
1217,hell,23
1218,thread,23
1219,melania,23
1220,threats,23
1221,including,23
1222,st,23
1223,join,23
1224,northern,23
1225,impact,23
1226,tank,23
1227,culture,23
1228,planet,23
1229,craig,23
1230,agent,23
1231,palestinian,23
1232,send,22
1233,linked,22
1234,energy,22
1235,brings,22
1236,mps,22
1237,remains,22
1238,create,22
1239,channel,22
1240,eve,22
1241,chair,22
1242,council,22
1243,jersey,22
1244,sees,22
1245,flight,22
1246,empire,22
1247,dutch,22
1248,experts,22
1249,dnc,22
1250,footage,22
1251,islam,22
1252,marijuana,22
1253,queen,22
1254,facing,22
1255,worker,22
1256,conspiracy,22
1257,ordered,22
