,Word,Frequency
805,midterm,6
806,guys,6
807,barack,6
808,-hour,6
809,worry,6
810,insane,6
811,return,6
812,finish,6
813,step,6
814,knew,6
815,http,6
816,normal,6
817,mail,6
818,mccain,6
819,contact,6
820,okay,6
821,legislation,6
822,risk,6
823,launches,6
824,hillary,6
825,nasa,6
826,spending,6
827,dozens,6
828,clinton,6
829,entirely,6
830,supposed,6
831,regrets,6
832,timeline,6
833,diet,6
834,running,6
835,confirms,6
836,type,6
837,piece,6
838,makeup,6
839,meeting,6
840,honestly,6
841,caused,6
842,scene,6
843,credit,6
844,random,6
845,hair,6
846,kelly,6
847,meal,6
848,counsel,6
849,proud,6
850,jim,6
851,reaches,6
852,manafort,6
853,holocaust,6
854,cousins,6
855,recalls,6
856,wear,6
857,due,6
858,exchange,6
859,yes,6
860,voting,6
861,lonely,6
862,staying,6
863,town,6
864,miles,6
865,voices,6
866,total,6
867,newly,6
868,story,6
869,speak,6
870,jobs,6
871,emotional,6
872,consulate,6
873,eat,6
874,population,6
875,rather,6
876,debate,6
877,released,6
878,moment,6
879,ass,6
880,afford,6
881,mask,6
882,box,6
883,polls,6
884,fix,6
885,hospital,6
886,florence,6
887,disgusting,6
888,florida,6
889,taste,6
890,ground,6
891,realdonaldtrump,6
892,culture,6
893,happens,6
894,roll,6
895,seem,6
896,scottadamssays,6
897,starts,6
898,violations,6
899,nightmare,6
900,somehow,6
901,cdc,6
902,buying,6
903,ride,6
904,perfectly,6
905,air,6
906,concerned,6
907,awesome,6
908,elon,6
909,flying,6
910,talk,6
911,confirm,6
912,stephen,6
913,customer,6
914,energy,6
915,window,6
916,kushner,6
917,soon,6
918,fit,6
919,furloughed,6
920,demands,6
921,bezos,6
922,-year-olds,6
923,attempt,6
924,completely,6
925,floor,6
926,officer,6
927,statue,6
928,vows,6
929,uber,6
930,bringing,6
931,university,6
932,decades,6
933,musk,6
934,attack,6
935,de,6
936,private,6
937,book,6
938,hat,6
939,material,6
940,trace,6
941,card,6
942,calling,6
943,pence,6
944,apologizes,6
945,control,6
946,spend,6
947,asshole,6
948,held,5
949,act,5
950,episode,5
951,suddenly,5
952,pathetic,5
953,journalist,5
954,winning,5
955,girls,5
956,medical,5
957,nominee,5
958,plastic,5
959,shouldnt,5
960,building,5
961,ultimate,5
962,green,5
963,seats,5
964,cat,5
965,declares,5
966,woodward,5
967,recall,5
968,current,5
969,honor,5
970,science,5
971,dark,5
972,officially,5
973,weve,5
974,dying,5
975,suspect,5
976,almost,5
977,third,5
978,sesame,5
979,potato,5
980,gather,5
981,moms,5
982,seconds,5
983,matt,5
984,races,5
985,mike,5
986,fat,5
987,check,5
988,finished,5
989,scott,5
990,st,5
991,disaster,5
992,rule,5
993,receives,5
994,cell,5
995,data,5
996,millions,5
997,shocked,5
998,letter,5
999,cannot,5
1000,prove,5
1001,double,5
1002,vacation,5
1003,works,5
1004,catholic,5
1005,standing,5
1006,among,5
1007,funds,5
1008,peace,5
1009,members,5
1010,impressed,5
1011,wonders,5
1012,falls,5
1013,circle,5
1014,veteran,5
1015,huckabee,5
1016,sit,5
1017,balloon,5
1018,crazy,5
1019,unsure,5
1020,tables,5
1021,powerful,5
1022,stadium,5
1023,netflix,5
1024,idiots,5
1025,existence,5
1026,fund,5
1027,birds,5
1028,sends,5
1029,stock,5
1030,photos,5
1031,id,5
1032,ask,5
1033,archives,5
1034,remains,5
1035,sending,5
1036,naked,5
1037,border,5
1038,guilty,5
1039,named,5
1040,dads,5
1041,patriots,5
1042,uses,5
1043,smaller,5
1044,fine,5
1045,escape,5
1046,tweets,5
1047,beto,5
1048,justice,5
1049,remember,5
1050,missing,5
1051,international,5
1052,throughout,5
1053,several,5
1054,nobody,5
1055,peoples,5
1056,rest,5
1057,planet,5
1058,shadow,5
1059,rise,5
1060,listen,5
1061,driving,5
1062,racist,5
1063,pet,5
1064,hopes,5
1065,hatch,5
1066,send,5
1067,district,5
1068,roof,5
1069,workers,5
1070,kingdom,5
1071,driver,5
1072,promises,5
1073,laundry,5
1074,catch,5
1075,enjoying,5
1076,animal,5
1077,rico,5
1078,wedding,5
1079,figures,5
1080,others,5
1081,wakes,5
1082,daughters,5
1083,policy,5
1084,keeping,5
1085,warren,5
1086,puerto,5
1087,percent,5
1088,humanity,5
1089,cost,5
1090,murdering,5
1091,early,5
1092,runs,5
1093,unveil,5
1094,amount,5
1095,star,5
1096,statement,5
1097,fake,5
1098,nervous,5
1099,sleep,5
1100,land,5
1101,honoring,5
1102,move,5
1103,key,5
1104,likely,5
1105,marathon,5
1106,exhibit,5
1107,extremely,5
1108,martin,5
1109,hero,5
1110,tesla,5
1111,fellow,5
1112,illegal,5
1113,headquarters,5
1114,toward,5
1115,model,5
1116,orders,5
1117,nobel,5
1118,pulled,5
1119,cnn,5
1120,committee,5
1121,warns,5
1122,manager,5
1123,ruth,5
1124,dirty,5
1125,train,5
1126,asked,5
1127,shooting,5
1128,review,5
1129,jewish,5
1130,agents,5
1131,drama,5
1132,amp,5
1133,turned,5
1134,us,5
1135,side,5
1136,items,5
1137,pile,5
1138,refugee,5
1139,zoo,5
1140,bond,5
1141,recovery,5
1142,doctors,5
1143,display,5
1144,sober,5
1145,society,5
1146,recent,5
1147,executive,5
1148,age,5
1149,knowing,5
1150,suicide,5
1151,en,5
1152,constantly,5
1153,-minute,5
1154,isis,5
1155,sister,5
1156,taken,5
1157,stan,5
1158,replace,5
1159,teens,5
1160,survivors,5
1161,ill,5
1162,quotes,5
1163,email,5
1164,attend,5
1165,enjoys,5
1166,song,5
1167,senator,5
1168,fathers,5
1169,silently,5
1170,north,5
1171,seek,5
1172,social,5
1173,accuser,5
1174,signed,5
1175,chinese,5
1176,citizens,5
1177,extended,5
1178,shell,5
1179,lee,5
1180,studio,5
1181,metoo,5
1182,congressional,5
1183,federal,5
1184,redemption,5
1185,legislature,5
1186,explain,5
1187,walk,5
1188,onto,5
1189,roommates,5
1190,industry,5
1191,front,5
1192,blue,5
1193,quietly,5
1194,dogs,5
1195,inspiring,5
1196,-day,5
1197,david,5
1198,pregnant,5
1199,drinking,5
1200,americas,5
1201,babies,5
1202,anniversary,5
1203,sorry,5
1204,couples,5
1205,frat,5
1206,upon,5
1207,none,5
1208,ryan,4
1209,brexit,4
1210,zinke,4
1211,either,4
1212,per,4
1213,member,4
1214,value,4
1215,mistaken,4
1216,television,4
1217,assassination,4
1218,annoyed,4
1219,resident,4
1220,loser,4
1221,globes,4
1222,theres,4
1223,heartwarming,4
1224,memorial,4
1225,presidents,4
1226,unemployed,4
1227,claim,4
1228,ideas,4
1229,floating,4
1230,built,4
1231,rights,4
1232,vast,4
1233,smoke,4
1234,greatest,4
1235,stay,4
1236,ends,4
1237,killing,4
1238,environmental,4
1239,stage,4
1240,enter,4
1241,salman,4
1242,gone,4
1243,santa,4
1244,pop,4
1245,porn,4
1246,tiny,4
1247,orrin,4
1248,throat,4
1249,remembered,4
1250,fail,4
1251,raised,4
1252,rich,4
1253,scandal,4
1254,door,4
1255,growing,4
1256,shot,4
1257,questions,4
1258,backyard,4
1259,light,4
1260,books,4
1261,bully,4
1262,so-called,4
1263,directly,4
1264,baffled,4
1265,whoa,4
1266,slow,4
1267,bears,4
1268,commit,4
1269,provide,4
1270,funding,4
1271,married,4
1272,beloved,4
1273,united,4
1274,seems,4
1275,op-ed,4
1276,leaves,4
1277,interest,4
1278,final,4
1279,luxury,4
1280,rid,4
1281,split,4
1282,address,4
1283,fbi,4
1284,blame,4
1285,explosive,4
1286,design,4
1287,condemns,4
1288,orourke,4
1289,thetakeout,4
1290,changed,4
1291,forever,4
1292,schumer,4
1293,savings,4
1294,cyber,4
1295,expects,4
1296,clarifies,4
1297,trade,4
1298,broken,4
1299,grassley,4
1300,edition,4
1301,lawn,4
1302,remove,4
1303,pass,4
1304,economy,4
1305,awareness,4
1306,source,4
1307,unaware,4
1308,virginia,4
1309,ho,4
1310,fraternity,4
1311,playstation,4
1312,especially,4
1313,mexico,4
1314,band,4
1315,sensitive,4
1316,prize,4
1317,director,4
1318,album,4
1319,sears,4
1320,challenge,4
1321,forgetting,4
1322,bell,4
1323,budget,4
1324,resigns,4
1325,joy,4
1326,polling,4
1327,crown,4
1328,exist,4
1329,writing,4
1330,satan,4
1331,confirmation,4
1332,sir,4
1333,happen,4
1334,buzzfeednews,4
1335,bader,4
1336,quarterbacks,4
1337,include,4
1338,retro,4
1339,toy,4
1340,location,4
1341,continue,4
1342,hotel,4
1343,neck,4
1344,reaching,4
1345,resolution,4
1346,process,4
1347,attempting,4
1348,shut,4
1349,theavclub,4
1350,agree,4
1351,gillette,4
1352,lennon,4
1353,emergency,4
1354,aisle,4
1355,rare,4
1356,negative,4
1357,shopping,4
1358,smash,4
1359,strict,4
1360,ivanka,4
1361,beginning,4
1362,revealing,4
1363,vision,4
1364,fourth,4
1365,rough,4
1366,determine,4
1367,mta,4
1368,heard,4
1369,adorable,4
1370,lots,4
1371,hanging,4
1372,laser,4
1373,vagina,4
1374,completed,4
1375,tower,4
1376,capable,4
1377,large,4
1378,features,4
1379,concert,4
1380,pushed,4
1381,flavor,4
1382,lawyer,4
1383,realization,4
1384,giuliani,4
1385,terrified,4
1386,bunch,4
1387,sandwich,4
1388,ways,4
1389,trees,4
1390,consider,4
1391,upcoming,4
1392,violent,4
1393,repeatedly,4
1394,costs,4
1395,costumes,4
1396,care,4
1397,interior,4
1398,inspired,4
1399,fruit,4
1400,dangerous,4
1401,eyes,4
1402,bitch,4
1403,missile,4
1404,understanding,4
1405,serving,4
1406,launch,4
1407,texas,4
1408,nancy,4
1409,skin,4
1410,wildlife,4
1411,slut,4
1412,loss,4
1413,happening,4
1414,owners,4
1415,user,4
1416,issue,4
1417,collection,4
1418,nra,4
1419,tear,4
1420,apart,4
1421,genitals,4
1422,size,4
1423,path,4
1424,emails,4
1425,eliminate,4
1426,trail,4
1427,names,4
1428,california,4
1429,popularity,4
1430,dunkin,4
1431,allowed,4
1432,meet,4
1433,anonymous,4
1434,delay,4
1435,pounds,4
1436,brother,4
1437,encouraging,4
1438,cup,4
1439,fast,4
1440,spent,4
1441,puts,4
1442,elections,4
1443,christian,4
1444,blow,4
1445,waste,4
1446,chief,4
1447,curiosity,4
1448,hope,4
1449,busy,4
1450,purchasing,4
1451,conservative,4
1452,annoying,4
1453,lisa,4
1454,queen,4
1455,force,4
1456,pull,4
1457,dallas,4
1458,releasing,4
1459,gray,4
1460,sexually,4
1461,along,4
1462,snow,4
1463,capitol,4
1464,track,4
1465,abortion,4
1466,easy,4
1467,gay,4
1468,holidays,4
1469,bonus,4
1470,dressed,4
1471,stars,4
1472,limo,4
